"is_bot","follower_follow_rate","post_rate","ave_comment","ave_repost","ave_attitudes","ave_url","word_ave","ave_emotionnum"
1,0.01853759,0,0,0,0,2.25,0.05,0.999903725
0,0.92377261,0.15,0.1,0.05,1.25,0.875,0.65,0.855825122
0,0.4048583,0.275,0.125,0.05,0.15,1.15625,0.0625,0.637258836
1,0.058024342,0.128205128,0,0,0.102564103,0.025641026,0.333333333,0.648960326
0,0.996520538,0.473684211,16.23684211,7.394736842,78.92105263,0.696969697,0.151515152,0.76681848
0,0.386422977,0.717948718,0.948717949,0.384615385,0.538461538,3.166666667,1,0.722990266
1,0.020247173,0,0,0,0,0.025641026,0.974358974,0.715652228
0,0.251243781,0.305555556,1.361111111,0.083333333,1.194444444,0.828571429,0.971428571,0.522332341
1,0.183793498,0.888888889,0,0,0,0.055555556,0.5,0.627793794
1,0.0125,0.9,0,0,0,2.725,0.025,0.062543133
1,0.019984822,0,0,0,0,0,0.918918919,0.783155846
0,0.622857143,0.435897436,0.41025641,0,0.307692308,0.413793103,0.75862069,0.680920689
1,0.042632332,0,0,0,0.076923077,0,0.435897436,0.775012496
1,0.010206685,0,0,0,0,0,0.567567568,0.764567099
0,0.644067797,0.435897436,0.41025641,0,0.923076923,0.210526316,0.605263158,0.70471338
1,0.010540541,0,0,0,0,0.026315789,0.815789474,0.763413148
0,0.268602541,0.192307692,0,0.038461538,0.230769231,0.958333333,0.208333333,0.643537736
0,0.470752089,0.125,1,0,3.15625,0.344827586,0.655172414,0.61952895
1,0.235092235,0,0,0,0,0.025641026,0.512820513,0.754391682
1,0.063176895,0,0,0,0,3,0.447368421,0.956146071
0,0.869324911,0.743589744,2.487179487,1.051282051,2.717948718,0.694444444,0.25,0.588038734
0,0.187725632,0.04,0.24,0,0.64,2.041666667,0.333333333,0.938063616
0,0.53539823,0.162162162,0.162162162,0.027027027,0.189189189,0.810810811,0.72972973,0.758484037
1,0.053527228,0,0,0,0,0,0.777777778,0.785965439
0,0.974870831,0.514285714,0.285714286,0.028571429,0.571428571,1.333333333,0.303030303,0.645750683
0,0.677083333,0.083333333,2.125,0,1.875,0.375,0.5,0.615440285
1,0.1232493,0.1,0.025,0.025,0.125,0.05,0.625,0.668887745
0,0.736842105,0.4,0,0.2,1.2,1.75,1.25,0.62412206
0,0.279894875,0.775,0.125,0.325,0.425,2.6,1.7,0.732826626
0,0.963522417,0.230769231,1.692307692,0.307692308,7.230769231,0.692307692,0.230769231,0.713585431
0,0.660714286,0.026315789,8.473684211,0,7.131578947,1.052631579,0.210526316,0.776940399
1,0.272604588,0.4375,0,0,0,0.28125,0.84375,0.793836988
1,0.019838354,0,0,0,0,0,1.052631579,0.722336353
0,0.727411945,0.540540541,1.486486486,0.108108108,4.081081081,1.483870968,0.774193548,0.664705874
0,0.139823009,0.4,0.142857143,0.028571429,0.657142857,0.133333333,0.2,0.600325448
1,0.285714286,0,0,0,0.025,0,0.675,0.766762844
1,0.029857023,0,0.045454545,0,0.090909091,0,1.090909091,0.723237502
1,0.021005729,0,0,0,0,0,1.086956522,0.80948005
1,0.059115337,0.120634915,0,0,0.036814258,0.010416666,0.504229343,0.787725023
